"Rank","First_Name","Last_Name","Yds","Tm","Year_Start","Year_End","Hall.of.Famer","Position","Score"
182,"Rick","Mirer",11969,"5TM",1993,2003,FALSE,"Quarterback",31
186,"Sam","Darnold",11774,"3TM",2018,2023,FALSE,"Quarterback",28
193,"Tim","Couch",11131,"cle",1999,2003,FALSE,"Quarterback",22
194,"Charlie","Batch",11085,"2TM",1998,2012,FALSE,"Quarterback",14
195,"Jalen","Hurts",10901,"phi",2020,2023,FALSE,"Quarterback",18
197,"Derek","Anderson",10878,"4TM",2006,2018,FALSE,"Quarterback",19
199,"Billy","Joe",10760,"5TM",1989,1999,FALSE,"Quarterback",24
202,"Byron","Leftwich",10532,"4TM",2003,2012,FALSE,"Quarterback",25
207,"Jacoby","Brissett",10350,"5TM",2016,2023,FALSE,"Quarterback",24
212,"Rex","Grossman",10232,"3TM",2003,2011,FALSE,"Quarterback",29
214,"Vince","Evans",9485,"2TM",1977,1995,FALSE,"Quarterback",8
219,"Blaine","Gabbert",9333,"6TM",2011,2023,FALSE,"Quarterback",42
221,"Robert","Griffin",9271,"3TM",2012,2020,FALSE,"Quarterback",24
223,"Vince","Young",8964,"2TM",2006,2011,FALSE,"Quarterback",6
224,"Kyle","Boller",8931,"3TM",2003,2011,FALSE,"Quarterback",27
232,"Shaun","Hill",8295,"4TM",2005,2016,FALSE,"Quarterback",25
237,"Colt","McCoy",7975,"5TM",2010,2022,FALSE,"Quarterback",25
243,"Brock","Osweiler",7418,"3TM",2012,2018,FALSE,"Quarterback",25
246,"Tarvaris","Jackson",7263,"2TM",2006,2015,FALSE,"Quarterback",19
